id,pop,id_pop,imfGDP,unGDP,countries,gdpPerCapita,continent,rank
81,10462.904,31,77392000000,54622176471,Azerbaijan,7396.799206,Europe,81
82,34777.522,288,76628000000,79082784426,Ghana,2203.377227,Africa,82
83,3423.316,858,76244000000,59317612018,Uruguay,22271.97256,South America,83
84,7097.028,688,75015000000,63068108024,Serbia,10569.91744,Europe,84
85,54964.694,104,74861000000,58582089718,Myanmar,1361.983385,Asia,85
86,9455.037,112,68864000000,68206172117,Belarus,7283.313645,Europe,86
87,2118.965,705,68394000000,61748586535,Slovenia,32277.07867,Europe,87
88,105625.114,180,67512000000,52849911906,Congo,639.1661741,Africa,88
89,49924.252,800,52390000000,42661087760,Uganda,1049.389784,Africa,89
90,12564.689,788,51271000000,46687298709,Tunisia,4080.562599,Africa,90
91,11384.922,400,50022000000,45243661972,Jordan,4393.705991,Asia,91
92,29394.433,120,49262000000,45367649044,Cameroon,1675.895568,Africa,92
93,12567.336,68,46796000000,40408208528,Bolivia,3723.621299,South America,93
94,1810.24,428,46668000000,39853501580,Latvia,25780.00707,Europe,94
95,1498.712,48,44994000000,38868670213,Bahrain,30021.7787,Asia,95
96,6947.27,600,44142000000,40458386036,Paraguay,6353.86274,South America,96
97,1319.041,233,41799000000,37191166152,Estonia,31688.93158,Europe,97
98,31240.315,524,41339000000,36207179306,Nepal,1323.258104,Asia,98
99,6964.197,434,40194000000,39005706444,Libya,5771.519674,Africa,99
100,713.082,446,38480000000,29905071578,Macau,53962.93834,Asia,100
101,6396.289,222,35339000000,28736940855,El Salvador,5524.922342,North America,101
102,10759.406,340,33992000000,28488721296,Honduras,3159.282213,North America,102
103,17020.321,716,32424000000,24118150864,Zimbabwe,1905.01695,Africa,103
104,1268.467,196,32032000000,28408121234,Cyprus,25252.52923,Europe,104
105,10515.788,598,31692000000,26594518500,Papua New Guinea,3013.754176,Oceania,105
106,18221.567,686,31141000000,27625162484,Senegal,1709.018769,Africa,106
107,17121.847,116,30943000000,26669490942,Cambodia,1807.223251,Asia,107
108,377.689,352,30570000000,25602419210,Iceland,80939.60904,Europe,108
109,3717.425,268,30023000000,18696419950,Georgia,8076.289367,Europe,109
110,21134.695,894,29536000000,21313366728,Zambia,1397.512479,Africa,110
111,1538.2,780,27887000000,24460196271,Trinidad and Tobago,18129.63204,North America,111
112,3194.378,70,26945000000,23365274674,Bosnia and Herzegovina,8435.131972,Europe,112
113,11867.03,332,25986000000,19043741493,Haiti,2189.764415,North America,113
114,2777.979,51,24540000000,13861418912,Armenia,8833.760082,Europe,114
115,14528.77,324,23205000000,16036108888,Guinea,1597.17581,Africa,115
