Date,Open,High,Low,Close,Percent_Change
2019-01-02,128.99,137.51,128.56,135.68,5.19
2019-01-03,134.69,137.17,131.12,131.74,-2.19
2019-01-04,134.01,138.0,133.75,137.95,2.94
2019-01-07,137.56,138.87,135.91,138.05,0.36
2019-01-08,139.89,143.14,139.54,142.53,1.89
2019-01-09,142.95,144.7,141.27,144.23,0.9
2019-01-10,143.08,144.56,140.84,144.2,0.78
2019-01-11,143.15,145.36,142.57,143.8,0.45
2019-01-14,142.0,146.57,141.27,145.39,2.39
2019-01-15,146.01,150.68,145.99,148.95,2.01
2019-01-16,149.0,149.65,147.0,147.54,-0.98
2019-01-17,146.95,149.0,146.5,148.3,0.92
2019-01-18,149.75,152.43,148.55,150.04,0.19
2019-01-22,149.2,151.53,146.37,147.57,-1.09
2019-01-23,148.28,148.8,143.06,144.3,-2.68
2019-01-24,144.64,146.44,142.52,145.83,0.82
2019-01-25,147.48,149.83,146.54,149.01,1.04
2019-01-28,148.05,148.96,146.21,147.47,-0.39
2019-01-29,148.09,148.1,143.43,144.19,-2.63
2019-01-30,146.22,150.95,145.7,150.42,2.87
2019-01-31,165.6,171.68,165.0,166.69,0.66
2019-02-01,165.84,169.1,165.66,165.71,-0.08
2019-02-04,165.7,169.3,163.62,169.25,2.14
2019-02-05,169.15,171.98,168.69,171.16,1.19
2019-02-06,171.2,172.47,169.27,170.49,-0.41
2019-02-07,168.2,169.24,165.25,166.38,-1.08
2019-02-08,164.47,167.37,164.21,167.33,1.74
2019-02-11,167.9,168.3,165.08,165.79,-1.26
2019-02-12,166.86,168.34,164.5,165.04,-1.09
2019-02-13,165.38,166.22,163.73,164.07,-0.79
2019-02-14,163.19,164.87,162.25,163.95,0.47
2019-02-15,164.51,164.7,160.86,162.5,-1.22
2019-02-19,160.5,164.15,160.33,162.29,1.12
2019-02-20,162.25,163.72,161.25,162.56,0.19
2019-02-21,161.93,162.24,159.59,160.04,-1.17
2019-02-22,160.58,162.41,160.31,161.89,0.82
2019-02-25,163.07,166.07,162.9,164.62,0.95
2019-02-26,164.34,166.24,163.8,164.13,-0.13
2019-02-27,162.9,163.93,160.41,162.81,-0.06
2019-02-28,162.37,163.5,160.86,161.45,-0.57
2019-03-01,162.6,163.13,161.69,162.28,-0.2
2019-03-04,163.9,167.5,163.83,167.37,2.12
2019-03-05,167.37,171.88,166.55,171.26,2.32
2019-03-06,172.9,173.57,171.27,172.51,-0.23
2019-03-07,171.5,171.74,167.61,169.13,-1.38
2019-03-08,166.2,169.62,165.97,169.6,2.05
2019-03-11,171.6,174.3,171.58,172.07,0.27
2019-03-12,172.09,173.8,171.22,171.92,-0.1
2019-03-13,172.32,174.03,172.12,173.37,0.61
2019-03-14,169.76,171.15,168.16,170.17,0.24
2019-03-15,167.16,167.58,162.51,165.98,-0.71
2019-03-18,163.57,163.9,159.28,160.47,-1.9
2019-03-19,161.48,163.82,160.82,161.57,0.06
2019-03-20,161.5,166.12,161.24,165.44,2.44
2019-03-21,164.89,166.39,163.75,166.08,0.72
2019-03-22,165.65,167.42,164.09,164.34,-0.79
2019-03-25,163.0,166.54,162.0,166.29,2.02
2019-03-26,167.35,169.45,166.35,167.68,0.2
2019-03-27,167.85,168.94,164.79,165.87,-1.18
2019-03-28,164.57,166.72,163.33,165.55,0.6
2019-03-29,166.39,167.19,164.81,166.69,0.18
2019-04-01,167.83,168.9,167.28,168.7,0.52
2019-04-02,170.14,174.9,169.55,174.2,2.39
2019-04-03,174.5,177.96,172.95,173.54,-0.55
2019-04-04,176.02,178.0,175.53,176.02,0.0
2019-04-05,176.88,177.0,175.1,175.72,-0.66
2019-04-08,175.21,175.5,174.23,174.93,-0.16
2019-04-09,175.62,179.19,175.55,177.58,1.12
2019-04-10,178.18,178.79,176.54,177.82,-0.2
2019-04-11,178.24,178.4,177.0,177.51,-0.41
2019-04-12,178.0,179.63,177.95,179.1,0.62
2019-04-15,178.5,180.5,176.87,179.65,0.64
2019-04-16,179.0,180.17,178.3,178.87,-0.07
2019-04-17,179.6,180.74,178.36,178.78,-0.46
2019-04-18,178.8,178.88,177.34,178.28,-0.29
