"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
"54964.694",104,"74861000000","58582089718","Myanmar","1361.9833850","Asia",85
"9455.037",112,"68864000000","68206172117","Belarus","7283.3136450","Europe",86
"2118.965",705,"68394000000","61748586535","Slovenia","32277.0786700","Europe",87
"105625.114",180,"67512000000","52849911906","DR Congo","639.1661741","Africa",88
"49924.252",800,"52390000000","42661087760","Uganda","1049.3897840","Africa",89
"12564.689",788,"51271000000","46687298709","Tunisia","4080.5625990","Africa",90
"11384.922",400,"50022000000","45243661972","Jordan","4393.7059910","Asia",91
"29394.433",120,"49262000000","45367649044","Cameroon","1675.8955680","Africa",92
"12567.336",68,"46796000000","40408208528","Bolivia","3723.6212990","South America",93
"1810.240",428,"46668000000","39853501580","Latvia","25780.0070700","Europe",94
"1498.712",48,"44994000000","38868670213","Bahrain","30021.7787000","Asia",95
"6947.270",600,"44142000000","40458386036","Paraguay","6353.8627400","South America",96
"1319.041",233,"41799000000","37191166152","Estonia","31688.9315800","Europe",97
"31240.315",524,"41339000000","36207179306","Nepal","1323.2581040","Asia",98
"6964.197",434,"40194000000","39005706444","Libya","5771.5196740","Africa",99
"713.082",446,"38480000000","29905071578","Macau","53962.9383400","Asia",100
"6396.289",222,"35339000000","28736940855","El Salvador","5524.9223420","North America",101
"10759.406",340,"33992000000","28488721296","Honduras","3159.2822130","North America",102
"17020.321",716,"32424000000","24118150864","Zimbabwe","1905.0169500","Africa",103
"1268.467",196,"32032000000","28408121234","Cyprus","25252.5292300","Europe",104
"10515.788",598,"31692000000","26594518500","Papua New Guinea","3013.7541760","Oceania",105
"18221.567",686,"31141000000","27625162484","Senegal","1709.0187690","Africa",106
"17121.847",116,"30943000000","26669490942","Cambodia","1807.2232510","Asia",107
"377.689",352,"30570000000","25602419210","Iceland","80939.6090400","Europe",108
"3717.425",268,"30023000000","18696419950","Georgia","8076.2893670","Europe",109
"21134.695",894,"29536000000","21313366728","Zambia","1397.5124790","Africa",110
"1538.200",780,"27887000000","24460196271","Trinidad and Tobago","18129.6320400","North America",111
"3194.378",70,"26945000000","23365274674","Bosnia and Herzegovina","8435.1319720","Europe",112
"11867.030",332,"25986000000","19043741493","Haiti","2189.7644150","North America",113
"2777.979",51,"24540000000","13861418912","Armenia","8833.7600820","Europe",114
"14528.770",324,"23205000000","16036108888","Guinea","1597.1758100","Africa",115
"2826.020",8,"23032000000","18260043500","Albania","8149.9777070","Europe",116
"34858.402",508,"21936000000","15776758633","Mozambique","629.2887436","Africa",117
"24015.789",466,"21309000000","19157055766","Mali","887.2912733","Africa",118
"35219.853",887,"21045000000","9946815477","Yemen","597.5323066","Asia",119
"23840.247",854,"20785000000","19737616003","Burkina Faso","871.8449939","Africa",120
"2719.694",72,"20756000000","17614859700","Botswana","7631.7409240","Africa",121
"536.740",470,"20311000000","17720643244","Malta","37841.4129700","Europe",122
"14080.072",204,"19940000000","17687623535","Benin","1416.1859400","Africa",123
"2484.557",266,"19319000000","18520706721","Gabon","7775.6316320","Africa",124
"3493.629",496,"18782000000","15098022752","Mongolia","5376.0717010","Asia",125
"2824.738",388,"18761000000","14657583648","Jamaica","6641.6779180","North America",126
"7142.529",558,"17353000000","14013014452","Nicaragua","2429.5316130","North America",127
"28238.972",562,"17073000000","14915001994","Niger","604.5899971","Africa",128
"819.594",328,"16329000000","8044499719","Guyana","19923.2790900","South America",129
"3329.865",498,"16000000000","13680098590","Moldova","4804.9996020","Europe",130
"2082.706",807,"15801000000","13881177347","North Macedonia","7586.7645270","Europe",131
"31056.610",450,"15763000000","14449793300","Madagascar","507.5570064","Africa",132
"455.858",96,"15153000000","14006497000","Brunei","33240.6144000","Asia",133
"1301.978",480,"14819000000","11525219786","Mauritius","11381.9127500","Africa",134
"6244.547",178,"14407000000","12840627675","Republic of the Congo","2307.1329270","Africa",135
"7736.681",418,"14244000000","19074407740","Laos","1841.0995620","Asia",136
